Timestamp,"When you move outside your hostel, with how many people do you usually move together? [-]",How many different friend circles do you have? [-],"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hostel?  [-]","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hostel 𝗶𝗻 𝗮 𝗱𝗮𝘆?  [-]","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆? [-]",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸? [-],What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hostel during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀.,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hostel of Residence,"Your department (Use short code ex. CSE, ME, EE, BB)"
4/13/2021 18:12:02,2,3,3,3,"Other Hostel of Residence, Football Ground, Kendriya Bhandar",1,3,"I generally eat in mess, Canteen","5PM-7PM, 9PM-11PM",I don't go anywhere,1am-2am,UG,3 rd,G6,EE
4/13/2021 18:16:00,3,1,1,1,"Kendriya Bhandar, I don't go anywhere",1,1,I generally eat in mess,7PM-9PM,"Kendriya Bhandar, I don't go anywhere",9pm-10pm,UG,2 nd,G4,ME
4/13/2021 18:25:14,2,3,2,2,"A Department, Kendriya Bhandar, I don't go anywhere",1,3,"I generally eat in mess, Canteen",7PM-9PM,Kendriya Bhandar,"10pm-11pm, 11pm-12am",PG,2 nd,G6,CSE
4/13/2021 18:30:03,3,1,5,8,A Department,1,1,"I generally eat in mess, Canteen","9AM-11AM, 1PM-3PM, 5PM-7PM, 7PM-9PM","A Department, Kendriya Bhandar","11pm-12am, 12am-1am",PG,2 nd,B2,BB
4/13/2021 18:35:34,3,1,4,3,"Football Ground, Kendriya Bhandar, Other",1,2,"I generally eat in mess, Canteen","5PM-7PM, 9PM-11PM","Football Ground, Other",10pm-11pm,UG,4 th,BLUE 2,CSE
4/13/2021 18:36:13,2,2,4,1,"I don't go anywhere, Other",1,1,I generally eat in mess,Never,I don't go anywhere,I usually stay in my room,UG,4 th,B1,EE
4/13/2021 18:37:11,2,2,2,4,A Department,1,4,Canteen,9PM-11PM,A Department,1am-2am,PG,2 nd,B5,PH
4/13/2021 18:53:07,1,4,1,3,"A Department, Kendriya Bhandar",1,1,"I generally eat in mess, Canteen","9AM-11AM, 5PM-7PM, 9PM-11PM","Football Ground, Cricket ground, Kendriya Bhandar",9pm-10pm,PG,2 nd,G-6,PH
4/13/2021 18:55:34,1,1,2,1,"A Department, Kendriya Bhandar",1,1,I generally eat in mess,5PM-7PM,Kendriya Bhandar,9pm-10pm,PG,1 st,B2,SHC
4/13/2021 19:00:13,2,1,2,2,"Lecture Hall Complex, Kendriya Bhandar",2,1,I generally eat in mess,9PM-11PM,"Football Ground, Kendriya Bhandar",11pm-12am,UG,2 nd,I2,ME
4/13/2021 19:08:25,1,1,1,1,I don't go anywhere,1,1,Other,Never,I don't go anywhere,I usually stay in my room,PG,1 st,I am in quarantine ,BB
4/13/2021 19:19:36,3,3,5,3,"Football Ground, A Department, Kendriya Bhandar, Community Center",3,1,"I generally eat in mess, Canteen","9AM-11AM, 9PM-11PM","Other Hostel of Residence, Football Ground, Kendriya Bhandar, Community Center","11pm-12am, I usually stay in my room",UG,3 rd,G5,BB
4/13/2021 19:20:30,2,1,4,1,"Football Ground, Kendriya Bhandar",2,4,"I generally eat in mess, Meal on Wheels-near CSE buildings",9PM-11PM,"Football Ground, Kendriya Bhandar",11pm-12am,UG,3 rd,B2,BB
4/13/2021 19:35:50,4,2,5,2,"Football Ground, Kendriya Bhandar",2,5,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","1PM-3PM, 9PM-11PM","Tennis court, Kendriya Bhandar",12am-1am,UG,3 rd,G6,EE
4/13/2021 20:07:50,4,4,5,2,Gymkhana,3,6,"I generally eat in mess, Canteen","1PM-3PM, 5PM-7PM, 7PM-9PM","Gymkhana, Kendriya Bhandar",I usually stay in my room,PG,2 nd,I2,MBA
4/13/2021 20:25:06,1,2,2,2,"Kendriya Bhandar, Community Center",2,3,"I generally eat in mess, Canteen","5PM-7PM, 7PM-9PM",Kendriya Bhandar,"10pm-11pm, 11pm-12am",UG,5 th,Green 5,ME
4/13/2021 22:04:11,6,5,5,4,"Lecture Hall Complex, Cricket ground",2,8,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings",3PM-5PM,"Lecture Building, Cricket ground",12am-1am,UG,2 nd,I2,EE
4/13/2021 22:04:38,6,4,5,4,"Lecture Hall Complex, Other Hostel of Residence, Cricket ground, Community Center",3,8,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","9AM-11AM, 1PM-3PM, 3PM-5PM, 9PM-11PM",Other Hostel of Residence,11pm-12am,UG,2 nd,B5,CSE
4/13/2021 22:20:49,3,2,2,1,Other,1,2,I generally eat in mess,9PM-11PM,Community Center,9pm-10pm,UG,2 nd,i 2,ME
4/13/2021 22:22:26,2,2,1,1,I don't go anywhere,1,1,I generally eat in mess,7PM-9PM,I don't go anywhere,I usually stay in my room,PG,2 nd,G4,BB
4/13/2021 22:54:27,1,2,5,8,"A Department, Kendriya Bhandar, Other",1,1,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","11AM-1PM, 3PM-5PM, 7PM-9PM, 9PM-11PM","A Department, Kendriya Bhandar","12am-1am, 1am-2am",PG,3 rd,B3,BB
4/13/2021 23:38:15,1,2,2,3,Football Ground,1,1,I generally eat in mess,"5PM-7PM, 7PM-9PM","Football Ground, Kendriya Bhandar",11pm-12am,PG,1 st,B1,IDRP
4/14/2021 0:02:05,1,5,5,3,"Library, Football Ground, Kendriya Bhandar, Community Center",1,3,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings, Meat Loaf Shop","5PM-7PM, 7PM-9PM","Other Hostel of Residence, Football Ground, Outside Campus, Kendriya Bhandar",10pm-11pm,PG,1 st,B3,MS
4/14/2021 0:02:29,3,1,3,3,Other,1,4,"I generally eat in mess, Canteen","9AM-11AM, 1PM-3PM, 5PM-7PM, 9PM-11PM",Other,12am-1am,PG,1 st,G5,SME
4/14/2021 5:05:07,4,3,2,2,"A Department, Kendriya Bhandar",1,3,"Canteen, Meal on Wheels-near CSE buildings",9PM-11PM,Football Ground,11pm-12am,UG,2 nd,I2,BB
4/14/2021 9:39:22,1,1,1,8,I don't go anywhere,1,1,I generally eat in mess,Never,I don't go anywhere,10pm-11pm,PG,1 st,B2,CY
4/14/2021 9:54:54,3,3,4,2,Kendriya Bhandar,1,3,"I generally eat in mess, Canteen","9AM-11AM, 1PM-3PM, 5PM-7PM, 9PM-11PM",Kendriya Bhandar,11pm-12am,UG,2 nd,B5,ME
