,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
386,2021/03/08 12:16:38 pm GMT+5:30,3,3,2,1,Vikramshila,1,10,Your own Hall Canteen;PFC;Smart Pind,9PM-11PM,Gymkhana;Vikramshila;Tech Market;Outside Campus;Netaji Auditorium;Nehru Museum,11pm-12am,UG,4th,LBS Hall,AE
387,2021/03/08 12:16:45 pm GMT+5:30,4,2,2,1,Tech Market;2.2,1,2,CCD Mio Amore Area;Peep Kitchen;Veggies;I generally eat in my hall mess,3PM-5PM,2.2;Tech Market,I usually stay in my room,UG,3rd,SN-IG Hall,CH
388,2021/03/08 12:16:52 pm GMT+5:30,2,3,2,2,Tech Market;Other Hall of Residence;2.2,3,4,Your own Hall Canteen;PFC;Other Hall Canteens;Tech Market;Veggies;Sahara;Subway,1PM-3PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana Park;2.2;Tech Market;Netaji Auditorium,10pm-11pm,UG,2nd,Azad Hall,MA
389,2021/03/08 12:16:52 pm GMT+5:30,3,2,2,1,Nalanda;2.2,0,1,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;I generally eat in my hall mess,1PM-3PM;9PM-11PM,2.2;I don't go anywhere,11pm-12am,UG,4th,Azad Hall,CH
390,2021/03/08 12:16:56 pm GMT+5:30,2,2,1,1,Library;Main Building;Tech Market,1,1,Your own Hall Canteen;Tech Market;Peep Kitchen;Tikka;I generally eat in my hall mess,5PM-7PM,Tech Market;Netaji Auditorium,I usually stay in my room,PG,2nd,Nivedita Hall,PH
392,2021/03/08 12:17:04 pm GMT+5:30,1,2,0,0,Library;Nalanda;A Department,1,2,Your own Hall Canteen;I generally eat in my hall mess,7PM-9PM,I don't go anywhere,12am-1am,UG,3rd,RP Hall,AG
393,2021/03/08 12:17:05 pm GMT+5:30,4,3,5,3,Tech Market;Outside Campus;A Department;Other,2,3,Other Hall Canteens;Tech Market;Veggies;Subway,9AM-11AM;1PM-3PM;7PM-9PM,Tech Market;A Department;I don't go anywhere,11pm-12am,PG,1st,VSRC,QM
394,2021/03/08 12:17:08 pm GMT+5:30,2,3,5,4,Gymkhana;Main Building;Tech Market;Tata Sports Complex,2,3,Your own Hall Canteen;PFC;Other Hall Canteens;I generally eat in my hall mess,9AM-11AM;11AM-1PM;5PM-7PM,Other Halls of Residence;2.2;Main Building;Tech Market;Netaji Auditorium,12am-1am,UG,2nd,LBS Hall,IM
395,2021/03/08 12:17:08 pm GMT+5:30,5,4,5,4,Gymkhana;Library;Main Building;Basketball/Tennis courts;Nalanda;2.2,2,4,Other Hall Canteens;CCD Mio Amore Area;Veggies,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Library;Nalanda Complex,11pm-12am,UG,2nd,MMM Hall,CS
396,2021/03/08 12:17:13 pm GMT+5:30,2,5,0,0,I don't go anywhere,0,0,Your own Hall Canteen;Subway,Never,I don't go anywhere,I usually stay in my room,UG,4th,LBS Hall,IM
