,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
571,2021/03/08 12:48:04 pm GMT+5:30,5,3,5,4,Gymkhana;Gymkhana Park;Other Hall of Residence;Vikramshila;Nalanda;2.2;Nehru Museum,2,3,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Peep Kitchen;Tikka;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Nehru Museum,2am-3am,UG,3rd,LBS Hall,MF
572,2021/03/08 12:48:14 pm GMT+5:30,1,1,2,2,Tech Market,1,3,Tech Market;Food City;Tikka,5PM-7PM;7PM-9PM,Tech Market,I usually stay in my room,UG,3rd,MT Hall,MI
573,2021/03/08 12:48:34 pm GMT+5:30,2,3,5,2,Gymkhana Park;Library;Tech Market;Other Hall of Residence;2.2,2,2,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;I generally eat in my hall mess,9AM-11AM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana Park;2.2;Library;Main Building;Tech Market;Netaji Auditorium,1am-2am,UG,3rd,RK Hall,CH
574,2021/03/08 12:48:35 pm GMT+5:30,2,2,5,6,Main Building;Tech Market;A Department,3,7,Your own Hall Canteen;Outside Campus;Tech Market;Peep Kitchen;Food City,11AM-1PM;5PM-7PM,Tech Market;A Department,12am-1am,PG,2nd,B C Roy Hall,CS
575,2021/03/08 12:48:45 pm GMT+5:30,2,2,1,1,Library;Tech Market,2,2,CCD Mio Amore Area,5PM-7PM,Tech Market,I usually stay in my room,UG,4th,RK Hall,
576,2021/03/08 12:49:55 pm GMT+5:30,2,3,4,4,Gymkhana;Tech Market;2.2;A Department,2,1,CCD Mio Amore Area;Tech Market;Veggies;Tikka;Smart Pind,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Tech Market;Outside Campus;Netaji Auditorium;A Department;Nehru Museum,11pm-12am,UG,5th,MT Hall,AR
577,2021/03/08 12:50:07 pm GMT+5:30,2,2,2,1,Gymkhana;Library;Tech Market,1,1,Tech Market;VSRC canteen;Tikka,5PM-7PM;7PM-9PM,Gymkhana;Gymkhana Park;Tech Market,10pm-11pm,PG,1st,B R Ambedkar Hall,AG
579,2021/03/08 12:51:15 pm GMT+5:30,2,2,2,3,Gymkhana;Tech Market;Tata Sports Complex;2.2,1,2,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market;Peep Kitchen;Smart Pind;I generally eat in my hall mess,5PM-7PM;9PM-11PM,2.2;Tata Sports Complex;Tech Market,12am-1am,UG,5th,LBS Hall,EE
580,2021/03/08 12:51:19 pm GMT+5:30,1,3,5,3,Library;Main Building;Tech Market;Other Hall of Residence;Nalanda;2.2;Outside Campus,3,3,Your own Hall Canteen;Tech Market,1PM-3PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Nalanda Complex;Tech Market;Outside Campus,11pm-12am,UG,3rd,LBS Hall,PH
582,2021/03/08 12:51:35 pm GMT+5:30,2,4,4,4,Main Building;Tech Market;Nalanda;2.2;A Department,2,5,Other Hall Canteens;CCD Mio Amore Area;Tech Market;I generally eat in my hall mess,7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tech Market;Netaji Auditorium;Nehru Museum,11pm-12am,UG,3rd,LBS Hall,CH
583,2021/03/08 12:51:59 pm GMT+5:30,4,2,5,6,Library;Main Building;Tech Market;Tata Sports Complex;2.2;Outside Campus,2,10,Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Food City;Tikka;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana Park;2.2;Tata Sports Complex;Nalanda Complex;Tech Market;Outside Campus,2am-3am,UG,2nd,MT Hall,EC
584,2021/03/08 12:52:02 pm GMT+5:30,0,1,2,1,Tech Market;A Department,1,3,Your own Hall Canteen;Other Hall Canteens;I generally eat in my hall mess,9AM-11AM;5PM-7PM,I don't go anywhere,11pm-12am,PG,2nd,LBS Hall,CH
586,2021/03/08 12:52:13 pm GMT+5:30,0,0,1,0,Gymkhana;Library;Tech Market;Tata Sports Complex,2,1,Your own Hall Canteen,9AM-11AM,I don't go anywhere,10pm-11pm,PG,5th,VSRC,HS
587,2021/03/08 12:52:17 pm GMT+5:30,4,2,5,5,Library;Main Building;Tech Market;Tata Sports Complex;Vikramshila;Nalanda;2.2,2,10,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Food City;VSRC canteen;Tikka;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana Park;2.2;Tata Sports Complex;Nalanda Complex;Vikramshila;Tech Market;Outside Campus,1am-2am,UG,2nd,LBS Hall,HS
588,2021/03/08 12:53:03 pm GMT+5:30,4,2,4,2,Main Building;Tech Market;Nalanda;2.2,1,5,PFC;CCD Mio Amore Area;Heritage;Tech Market;Veggies;Food City;Tikka,5PM-7PM;7PM-9PM;9PM-11PM,2.2;Main Building;Nalanda Complex;Tech Market;Outside Campus;Netaji Auditorium,10pm-11pm,UG,2nd,MT Hall,IM
589,2021/03/08 12:53:09 pm GMT+5:30,2,2,5,5,Library;Main Building;Tech Market;Basketball/Tennis courts,1,5,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Smart Pind;I generally eat in my hall mess,9AM-11AM;11AM-1PM,Library;Basketball/Tennis Courts,9pm-10pm,UG,4th,Nehru Hall,AE
591,2021/03/08 12:53:28 pm GMT+5:30,2,2,3,2,Library;Tech Market,2,3,Other Hall Canteens;Tech Market,5PM-7PM;7PM-9PM,Gymkhana;Gymkhana Park;Tech Market,9pm-10pm,PG,2nd,MMM Hall,MI
592,2021/03/08 12:53:48 pm GMT+5:30,1,2,5,2,Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Outside Campus;A Department,2,5,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Sahara;Smart Pind,7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;Tech Market;Outside Campus;Netaji Auditorium,12am-1am,PG,2nd,MMM Hall,AR
593,2021/03/08 12:53:59 pm GMT+5:30,3,2,1,2,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence;2.2,1,6,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market,5PM-7PM;7PM-9PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Nalanda Complex;Tech Market,9pm-10pm,UG,2nd,RP Hall,MT
594,2021/03/08 12:54:07 pm GMT+5:30,0,0,0,0,I don't go anywhere,0,0,I generally eat in my hall mess,Never,I don't go anywhere,I usually stay in my room,PG,1st,Other,MT
595,2021/03/08 12:54:16 pm GMT+5:30,2,5,2,2,2.2;Other,1,1,Your own Hall Canteen;I generally eat in my hall mess,7PM-9PM,2.2;Other,11pm-12am,UG,2nd,SN-IG Hall,
596,2021/03/08 12:54:30 pm GMT+5:30,4,4,5,4,Gymkhana;Library;Main Building;Tech Market;Nalanda;2.2,3,8,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Veggies;Food City;Subway,11AM-1PM;1PM-3PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Main Building;Nalanda Complex;Vikramshila,11pm-12am,UG,3rd,Vidyasagar Hall,EC
597,2021/03/08 12:54:51 pm GMT+5:30,5,3,5,3,Gymkhana;Main Building;2.2,2,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Food City;VSRC canteen;Smart Pind,5PM-7PM;9PM-11PM,Gymkhana;2.2;Main Building;Tech Market;Outside Campus,2am-3am,UG,3rd,Patel Hall,AG
598,2021/03/08 12:54:56 pm GMT+5:30,2,2,2,1,Tech Market,0,1,CCD Mio Amore Area;Heritage;Veggies;Subway,7PM-9PM;9PM-11PM,Tech Market,11pm-12am,UG,2nd,LBS Hall,IM
599,2021/03/08 12:54:58 pm GMT+5:30,3,5,5,3,Gymkhana;Tech Market;Other Hall of Residence;Outside Campus;A Department,2,8,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;VSRC canteen;Tikka;Billoos;Smart Pind;Subway,9AM-11AM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;Outside Campus;Other,10pm-11pm,PG,2nd,MMM Hall,EE
600,2021/03/08 12:55:09 pm GMT+5:30,2,2,5,3,Tech Market;2.2;Outside Campus,1,3,PFC;Outside Campus;Heritage;Tech Market,5PM-7PM;7PM-9PM,Gymkhana;Gymkhana Park;2.2;Tech Market,11pm-12am,UG,5th,MT Hall,IM
601,2021/03/08 12:55:44 pm GMT+5:30,2,4,5,3,Gymkhana;Gymkhana Park;Library;Tech Market;Tata Sports Complex;Vikramshila;Nalanda;2.2;Outside Campus;A Department,3,5,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Food City;Smart Pind,7PM-9PM,Tata Sports Complex;Vikramshila;Tech Market,11pm-12am,PG,2nd,MMM Hall,AG
603,2021/03/08 12:57:19 pm GMT+5:30,3,3,5,1,Library;Tech Market;Tata Sports Complex,1,10,Other Hall Canteens;CCD Mio Amore Area;Peep Kitchen;Food City;VSRC canteen,5PM-7PM;7PM-9PM,Library;Main Building;Tata Sports Complex;Tech Market,12am-1am,PG,3rd,VSRC,CS
605,2021/03/08 12:58:55 pm GMT+5:30,3,2,5,3,Tech Market;Tata Sports Complex;2.2,1,1,Your own Hall Canteen;I generally eat in my hall mess,9AM-11AM;5PM-7PM;7PM-9PM,2.2;Tata Sports Complex;Tech Market,I usually stay in my room,UG,2nd,LBS Hall,HS
606,2021/03/08 12:59:33 pm GMT+5:30,2,2,4,3,Main Building;Tech Market;Other Hall of Residence;Nalanda;2.2;A Department,3,4,Your own Hall Canteen;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Dreamland;Tikka;Smart Pind;Subway,1PM-3PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Main Building;Tech Market;Basketball/Tennis Courts;Nehru Museum;Other,1am-2am,UG,3rd,MT Hall,EX
607,2021/03/08 12:59:57 pm GMT+5:30,0,4,2,2,Library;Main Building;Tech Market;Vikramshila;Nalanda;A Department,2,3,Your own Hall Canteen;Heritage;Tech Market,5PM-7PM,Main Building;Nalanda Complex;Vikramshila;Tech Market;Netaji Auditorium,11pm-12am,PG,2nd,MMM Hall,CS
608,2021/03/08 12:59:58 pm GMT+5:30,4,4,2,1,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Nalanda;2.2;Outside Campus;A Department;Nehru Museum,2,4,PFC;CCD Mio Amore Area;Heritage;Tech Market;Veggies;Food City;Sahara;Tikka;Subway,9AM-11AM;11AM-1PM;1PM-3PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Tech Market;Netaji Auditorium;A Department;Nehru Museum,1am-2am,UG,5th,Nehru Hall,MI
609,2021/03/08 1:00:44 pm GMT+5:30,2,2,2,2,Gymkhana;Library;Tata Sports Complex;Basketball/Tennis courts,1,2,Your own Hall Canteen,5PM-7PM;7PM-9PM,Gymkhana;Gymkhana Park;Tata Sports Complex,9pm-10pm,PG,1st,MMM Hall,ME
610,2021/03/08 1:00:51 pm GMT+5:30,6,2,4,6,Library;Tech Market;Tata Sports Complex,1,1,Other Hall Canteens;CCD Mio Amore Area;I generally eat in my hall mess,11AM-1PM,Tata Sports Complex;Tech Market,9pm-10pm,PG,2nd,SAM Hall,MT
611,2021/03/08 1:01:03 pm GMT+5:30,1,1,1,1,Library;Tech Market;2.2,0,1,Your own Hall Canteen;I generally eat in my hall mess,Never,2.2;Library;Tech Market,10pm-11pm,UG,2nd,Azad Hall,ME
612,2021/03/08 1:01:04 pm GMT+5:30,2,2,2,3,Library;Main Building;Outside Campus;A Department,1,5,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Veggies;Food City,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana Park;Main Building;Nalanda Complex;Tech Market;A Department,1am-2am,PG,1st,MMM Hall,MA
613,2021/03/08 1:01:05 pm GMT+5:30,3,1,2,2,Gymkhana;Gymkhana Park;Library;Tata Sports Complex;Outside Campus,1,5,Your own Hall Canteen;Veggies,5PM-7PM,Gymkhana;Gymkhana Park;Library;Tata Sports Complex;Netaji Auditorium,9pm-10pm,PG,1st,SAM Hall,MT
614,2021/03/08 1:01:06 pm GMT+5:30,5,2,4,2,Gymkhana;Tata Sports Complex;Outside Campus,1,5,CCD Mio Amore Area;Veggies;Subway,5PM-7PM,Gymkhana;Library;Tata Sports Complex;Outside Campus;Netaji Auditorium,2am-3am,PG,1st,SAM Hall,MT
615,2021/03/08 1:01:12 pm GMT+5:30,1,2,4,2,Gymkhana;Tech Market;Other Hall of Residence;Tata Sports Complex;A Department;Other,2,1,Your own Hall Canteen;Other Hall Canteens;Outside Campus;I generally eat in my hall mess,5PM-7PM,Tech Market,10pm-11pm,PG,2nd,MMM Hall,AG
616,2021/03/08 1:02:10 pm GMT+5:30,2,2,2,0,Tech Market;Tata Sports Complex,0,0,I generally eat in my hall mess,9AM-11AM;5PM-7PM;7PM-9PM;9PM-11PM,Netaji Auditorium,10pm-11pm,UG,2nd,LBS Hall,MA
617,2021/03/08 1:02:12 pm GMT+5:30,5,3,0,3,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Nalanda,2,2,PFC;Other Hall Canteens;Outside Campus;Tech Market,3PM-5PM;5PM-7PM,Gymkhana;Gymkhana Park;Outside Campus;Other,11pm-12am,PG,2nd,MMM Hall,AG
618,2021/03/08 1:02:21 pm GMT+5:30,4,4,5,4,Gymkhana;Library;Tech Market;Other Hall of Residence;2.2,2,5,Your own Hall Canteen;PFC;CCD Mio Amore Area;Peep Kitchen;Food City,9AM-11AM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Main Building;Tech Market;Netaji Auditorium,11pm-12am,UG,4th,RP Hall,EE
619,2021/03/08 1:02:33 pm GMT+5:30,3,5,4,2,Tata Sports Complex;Nalanda;2.2;A Department,2,2,Your own Hall Canteen;CCD Mio Amore Area;I generally eat in my hall mess,5PM-7PM;7PM-9PM,Other Halls of Residence;2.2;Tata Sports Complex,10pm-11pm,UG,4th,RK Hall,AG
620,2021/03/08 1:02:56 pm GMT+5:30,5,4,5,4,Gymkhana;Main Building;Tech Market;Other Hall of Residence;Nalanda;2.2,4,10,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Veggies;Super Duper,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Main Building;Nalanda Complex;Tech Market,1am-2am,PG,2nd,MMM Hall,EC
621,2021/03/08 1:03:30 pm GMT+5:30,3,3,5,5,Gymkhana;Main Building;Other Hall of Residence;Vikramshila;Nalanda;2.2;Nehru Museum,3,4,Your own Hall Canteen;Outside Campus;CCD Mio Amore Area;I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Main Building;Tech Market;Netaji Auditorium;Nehru Museum;Other,10pm-11pm,UG,3rd,Patel Hall,MF
622,2021/03/08 1:04:19 pm GMT+5:30,2,3,1,2,A Department,1,2,Your own Hall Canteen;PFC;Other Hall Canteens;Tech Market,11AM-1PM;5PM-7PM,Other Halls of Residence;Tech Market,10pm-11pm,UG,4th,Patel Hall,HS
623,2021/03/08 1:04:20 pm GMT+5:30,1,3,2,1,Gymkhana;Tech Market;Nalanda;2.2,1,1,Your own Hall Canteen;PFC,5PM-7PM,Gymkhana;2.2,10pm-11pm,UG,4th,Patel Hall,EE
624,2021/03/08 1:04:39 pm GMT+5:30,1,5,5,1,Main Building;Tech Market;Outside Campus;Other,2,10,Outside Campus;Tech Market;Super Duper;Tikka;Other,11AM-1PM;3PM-5PM;5PM-7PM;7PM-9PM,Other Halls of Residence;Main Building;Tech Market;Outside Campus;Other,10pm-11pm,PG,2nd,VSRC,EC
625,2021/03/08 1:04:59 pm GMT+5:30,1,2,2,2,Library;Main Building;Tech Market,1,1,Your own Hall Canteen;Heritage;Peep Kitchen,11AM-1PM;7PM-9PM;9PM-11PM,Main Building;Vikramshila;Tech Market;Netaji Auditorium,10pm-11pm,UG,4th,Vidyasagar Hall,ME
626,2021/03/08 1:05:02 pm GMT+5:30,2,4,5,4,Gymkhana;Library;Main Building;Tech Market;Vikramshila;2.2,2,7,Your own Hall Canteen;CCD Mio Amore Area;Heritage;Tech Market;Veggies;Food City;Billoos;Smart Pind;I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Library;Main Building;Vikramshila;Tech Market;Other,1am-2am,UG,2nd,SN-IG Hall,HS
627,2021/03/08 1:05:20 pm GMT+5:30,3,4,5,4,Gymkhana;2.2,2,1,CCD Mio Amore Area;Tikka,7PM-9PM,Gymkhana;Gymkhana Park;2.2;Main Building,11pm-12am,UG,2nd,LBS Hall,HS
628,2021/03/08 1:05:44 pm GMT+5:30,2,3,3,3,Library;Main Building;Tech Market;Nalanda;Outside Campus;A Department,2,10,Your own Hall Canteen;Outside Campus;Tech Market;Food City;VSRC canteen,7PM-9PM;9PM-11PM,Other Halls of Residence;Library;Tech Market;Outside Campus,12am-1am,UG,4th,Patel Hall,EC
629,2021/03/08 1:07:21 pm GMT+5:30,2,3,2,1,Gymkhana;Library;Main Building;Tech Market;Nalanda;2.2;A Department,2,2,Your own Hall Canteen;CCD Mio Amore Area;I generally eat in my hall mess,9AM-11AM;7PM-9PM,Other Halls of Residence;Library;A Department;Nehru Museum,I usually stay in my room,UG,4th,MMM Hall,MA
630,2021/03/08 1:09:25 pm GMT+5:30,2,2,3,2,Gymkhana;Tech Market;2.2;Other,1,2,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Tech Market;VSRC canteen,3PM-5PM;5PM-7PM;7PM-9PM,Gymkhana;Gymkhana Park;Tata Sports Complex;Tech Market;Outside Campus;Other,10pm-11pm,UG,2nd,LBS Hall,HS
631,2021/03/08 1:09:30 pm GMT+5:30,1,3,5,2,Gymkhana;Main Building;Tech Market;Vikramshila;Nalanda;2.2,2,3,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Veggies,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Vikramshila;Tech Market;Basketball/Tennis Courts;Netaji Auditorium;A Department,10pm-11pm,UG,2nd,Azad Hall,EC
632,2021/03/08 1:09:35 pm GMT+5:30,0,0,0,0,Library;Main Building;Tech Market;A Department,0,0,Other,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM,Other,I usually stay in my room,UG,4th,Other,EC
633,2021/03/08 1:09:42 pm GMT+5:30,4,3,5,2,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;2.2;Other,2,2,PFC;Tech Market;Veggies;Sahara;Tikka;Subway;I generally eat in my hall mess,1PM-3PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Nalanda Complex;Tech Market;Nehru Museum,10pm-11pm,UG,3rd,Nivedita Hall,BT
634,2021/03/08 1:09:59 pm GMT+5:30,1,2,5,8,Nalanda;Outside Campus;A Department,1,1,Outside Campus,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM,Library;Outside Campus,9pm-10pm,UG,2nd,LBS Hall,MA
635,2021/03/08 1:10:01 pm GMT+5:30,5,2,5,2,Gymkhana;Library;Tech Market;Other Hall of Residence;Outside Campus;A Department,3,4,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Peep Kitchen;Smart Pind,7PM-9PM,Gymkhana;Gymkhana Park;Library;Main Building,10pm-11pm,PG,2nd,MMM Hall,ME
636,2021/03/08 1:10:08 pm GMT+5:30,2,2,2,3,Library;Main Building;Tech Market;Nalanda;Outside Campus;A Department;Other,3,3,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Peep Kitchen;Food City;Smart Pind,1PM-3PM;3PM-5PM;7PM-9PM;9PM-11PM,Tech Market;Outside Campus;Netaji Auditorium;A Department,10pm-11pm,UG,4th,RP Hall,MT
637,2021/03/08 1:10:11 pm GMT+5:30,2,2,3,3,Library;Main Building;Tech Market;Other Hall of Residence;2.2;A Department;Nehru Museum,2,2,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Veggies;Food City;Tikka,5PM-7PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Vikramshila;Tech Market;Outside Campus;Netaji Auditorium,1am-2am,UG,3rd,RK Hall,CH
638,2021/03/08 1:10:30 pm GMT+5:30,0,3,2,2,Gymkhana;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;Outside Campus;A Department,2,2,Your own Hall Canteen;I generally eat in my hall mess,11AM-1PM;9PM-11PM,I don't go anywhere,11pm-12am,UG,2nd,LBS Hall,EX
639,2021/03/08 1:10:31 pm GMT+5:30,3,2,2,1,Main Building;Other Hall of Residence;Basketball/Tennis courts,1,2,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Subway;I generally eat in my hall mess,11AM-1PM;5PM-7PM,Other Halls of Residence;Tech Market;Outside Campus;Netaji Auditorium,10pm-11pm,UG,4th,RP Hall,EC
640,2021/03/08 1:10:34 pm GMT+5:30,1,2,3,0,Tech Market,0,0,Your own Hall Canteen;CCD Mio Amore Area;VSRC canteen,5PM-7PM,Tech Market;I don't go anywhere,9pm-10pm,PG,5th,Nivedita Hall,CS
641,2021/03/08 1:11:01 pm GMT+5:30,3,2,5,2,Library;Main Building;Tech Market;Other Hall of Residence;2.2,2,4,PFC;CCD Mio Amore Area;Tech Market,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Main Building;Tech Market;Outside Campus,12am-1am,UG,3rd,Azad Hall,EC
642,2021/03/08 1:11:28 pm GMT+5:30,3,4,5,3,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence;Nalanda;2.2;Outside Campus;A Department;Nehru Museum,2,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Super Duper;Tikka;Billoos;Smart Pind,11AM-1PM;1PM-3PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Main Building;Nalanda Complex;Tech Market;Outside Campus;Netaji Auditorium;Nehru Museum,2am-3am,UG,3rd,Nehru Hall,MI
643,2021/03/08 1:11:48 pm GMT+5:30,2,2,2,1,2.2,1,2,Your own Hall Canteen;Heritage,5PM-7PM,2.2,I usually stay in my room,UG,2nd,RP Hall,EC
644,2021/03/08 1:12:13 pm GMT+5:30,5,2,4,2,Tech Market;Nalanda;2.2;A Department,2,6,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Smart Pind,3PM-5PM;5PM-7PM,Gymkhana Park;2.2;Tech Market,10pm-11pm,UG,3rd,Azad Hall,ME
645,2021/03/08 1:12:20 pm GMT+5:30,1,1,1,0,I don't go anywhere,0,0,Your own Hall Canteen;I generally eat in my hall mess,Never,I don't go anywhere,I usually stay in my room,PG,1st,MMM Hall,AG
646,2021/03/08 1:12:23 pm GMT+5:30,3,2,2,3,Library;Tech Market;Nalanda;2.2;A Department,2,4,Other Hall Canteens;CCD Mio Amore Area;Tech Market,7PM-9PM;9PM-11PM,Gymkhana Park;2.2;Library;Main Building;Nalanda Complex;Tech Market;A Department,11pm-12am,PG,2nd,SAM Hall,AR
647,2021/03/08 1:12:59 pm GMT+5:30,0,2,1,4,Gymkhana Park;Library;2.2;A Department;Other,2,0,Your own Hall Canteen;Outside Campus;CCD Mio Amore Area;I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana Park;2.2;Library;Main Building;A Department;Nehru Museum,12am-1am,UG,2nd,Azad Hall,GG
648,2021/03/08 1:13:06 pm GMT+5:30,0,1,1,1,Library;Main Building;Tech Market;Nalanda;2.2,2,2,Your own Hall Canteen;Tech Market,9AM-11AM;5PM-7PM,Tech Market;Outside Campus,9pm-10pm,UG,2nd,LBS Hall,CE
649,2021/03/08 1:13:39 pm GMT+5:30,8,5,5,8,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Basketball/Tennis courts;Vikramshila;Nalanda;2.2;Outside Campus;A Department;Nehru Museum;Other,4,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Veggies;Food City;VSRC canteen;Dreamland;Sahara;Super Duper;Tikka;Billoos;Smart Pind;Subway;Other,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Vikramshila;Tech Market;Basketball/Tennis Courts;Outside Campus;Netaji Auditorium;A Department;Nehru Museum;Other,2am-3am,UG,3rd,LBS Hall,CS
650,2021/03/08 1:13:54 pm GMT+5:30,2,2,2,2,Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;A Department,1,3,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;I generally eat in my hall mess,5PM-7PM;7PM-9PM,Library;Main Building;Tech Market,10pm-11pm,UG,4th,LLR Hall,IE
651,2021/03/08 1:14:22 pm GMT+5:30,2,2,3,8,Library;Tech Market,3,2,I generally eat in my hall mess,9AM-11AM;7PM-9PM,Gymkhana;Library;Basketball/Tennis Courts;Netaji Auditorium;Nehru Museum,10pm-11pm,PG,1st,MMM Hall,AG
